a'dād	numbers; pl of adad
aqab-aqab	backward
aqab-aqab raftan	go backward
aqab-e	after
aqab-o jelow	back and forth
aqabmānde	behind; backward; laggard
aqabnešini	retreat; scuttle; recess; withdrawal
aqabnešini kardan	retreat; scuttle; withdraw
aqaboftāde	retard; underdeveloped
aqallan	leastwise
aqalliyat	minority
aqalliyat-e mazhabi	religious minority
aqalliyat-e qowmi	ethnic minority
aqalliyati	minority
aqd	espousal
aqd kardan	espouse
aqd-e ezdevāj	marriage
aqd-e nekāh	marriage
aqdnāme	contract; marriage contract
aqide	opinion; belief; view; notion; thought; conception; review; say
aqide (aqāyed)	thought; tenet; doctrine; faith; opinion; belief; impression; viewpoint; view
aqide dāštan	opine; have an opinion; believe; deem; presume; think
aqim	sterile; barren; abortive
aqim gozārdan	frustrate; thwart; narrow down
aqim kardan	frustrate; spay; sterilize; castrate; mock; narrow down; confute; countercheck; sterilization
aqim māndan	fail; lose out; miscarry; abort
aqimgozāri	frustration
aqiq	agate
aql	reason; wisdom; intellect; wits; mind; nous; sagacity
aql-e salim	commonsense; gumption
aqlab	often
aqlab(-e)	most; the majority of
aqlab-e	most; most of
aqlāni	intellectual; rational
aqrab	scorpion
aqrabak	gnomon; gusset; holdfast; pointer; whitlow
aqrabe	pointer
aqrabe-ye daqiqešomār	clock's minute
aqrabe-ye sāat	clockwise
aqsāt	installments; pl of qest
aqvām	family; kinfolk; pl of qowm
aqvām-e badavi	Bedouin tribes
aqziye	food; board; provision
aqziyeforuši	deli; sandwich shop
aqār	real estate; realty; fixture; immovables; premises
aqāyed	pl of aqide
aqšār	groups; pl of qešr
Arab	Arab
Arabestān	Arabia
arabi	Arabic
araq	sweat; distillate
araq kardan	sweat
araq-e badan	sweat
araq-e sard	cold sweat
araqcin	skullcap
arbade	yell
arbade kešidan	yell
arbāb	master; lord; boss; overlord; squire; monsieur
arbāb-e xord	self-employed; freelancer
arbābroju'	client; clientele
arg	citadel; castle
ariz	wide; broad
ariz kardan	widen; broaden
arjomand	venerable
Armanestān	Armenia
armani	Armenian
armani (arāmane)	Armenian
arqām	pl of raqam
arre	saw
arre kardan	saw
arse	arena; field; square; court; ring
arse-ye monāzee	battlefield; battleground
arteš	army
arus	bride; daughter-in-law
arus-e daryāyi	jellyfish
arus-o dāmād	bride and groom
arusak	doll; puppet
arusak-e xeymešabbāzi	marionette; puppet
arusakgardāni	puppeteer
arusi	wedding; marriage
arusi kardan	marry
arvāh	pl of ruh
arz	width; breadth
arz-e joqrāfiyāyi	latitude
arz-e xāreji	foreign exchange; foreign currency
