a'dād	numbers; pl of adad
ādat-e māhāne	menstruation; menstrual period; period
ādat-e zanāne	menstruation; menstrual period; period
ādel	just; righteous; fair
ādelāne	righteously; fairly
ādi	normal
ādi šodan	break in
ādine	Friday
ādres	address
ādāb	pl of adab
ādāb-e moāšerat	etiquette; manners
ādāb-o rosum	customs pl
ādāms	chewing gum
ādāt	pl of ādat
āfaridan	create
āfaridani	create
āfaride	created; creature; being
āfaridegār	God; creator
āfaridegār	creator
āfarin	congratulations; well done!; bravo!; acclamation; bravo; well-done
āfarin goftan	acclaim; applaud
āfarinande	creator; creative
āfarinandegi	creativity; creativeness
āfarineš	creation; nature; universe
āfat	ras; pest; drop
āfat (āfāt)	pest
āfatkoš	pesticides
āfatzade	infested site
āfiyat	health
āfriqā	Africa
āfset	offset
āfsāyd	offside
āftāb	sunshine; sun; photosphere
āftābe	tankard; pitcher; ewer
āftābgir	sunny side
āftābi	sunny; shiny; bright; sunglasses
āftābi šodan	show oneself
āftābparast	chameleons
āftābsuxte	sun burned
āftābsuxtegi	sunburn
āftābsuxtegi	sun burn
āftābxorde	suntanned; bronzed; sunburned
āftābzade	ftabzdh; sun-struck; weather-beaten
āftābzadegi	sunstroke; sunburn
āftābzadegi	sunstroke; sunburn
āftābgardān	sunflower; visor; sunshade
āftābgir	shades; sunshiny
āfāq	afaq
āfāt	pests; pl of āfat
āgahi	announcement; advertisement; advertising; notice; ticket; assertion; annunciation; ad; proclamation
āgahi dādan	advertise; announce
āgahi kardan	announce; advertise
āgahi-ye divāri	poster
āgahināme-ye rasmi	bulletin
āgāh	aware; informed
āgāh budan	know
āgāh kardan	inform; acquaint; admonish; intuit; warn
āgāhi	knowledge; awareness; consciousness; inkling; intelligence; dope; information
āgāhi dādan	inform; notify
āgāhi yāftan	learn
āgāhināme	bulletin
āgāhāne	consciously; intentionally; knowingly
āh	oh; ah!; alas!; sigh; aspiration; suspiration; ah
āh kešidan	sigh; suspire
āh-e hasrat kešidan	sigh
āhak	lime
āhakdār	limy
āhan	iron
āhang	cadence; music; tone; tonality; tune; air; setting; melody; song
āhang-e melodi	lay
āhang-e mowzun	lilt; rhythm
āhang-e sedā	note; tune
āhangar	blacksmith; smith
āhangari kardan	forge
āhangsāz	composer
āhani	ferrous; ferruginous
āhanin	iron; steely; ironclad
āhanrobā	magnet; lodestone; loadstone
āhang	music; cadence; tone
āhangar	blacksmith; smithy; ironsmith
āhangari	forging; smithy; smithery
āhangin	musical
āhangsāz	composer
āheste	slow; low; languid; lagging; gentle; light; quiet; slow-footed; gradual
āheste dast zadan	pat
āheste dast zadan be	pat
āheste harf zadan	speak softly
āheste-āheste	slowly; low-low
āhestegi	slowly; slow-footedness
āhu	deer; defect; illness
āj	ivory
ājez	unable; incapable; cripple
ājez kardan	annoy; bay; disable; harass; hassle; weaken; importune; bug
ājil	nuts
ājilforuši	nut store
ājor	brick
ājori	brick; tegular
ājorpazi	brick
ājudān	adjutant
ākandan	filling; fill
ākande	full
ākandegi	scattering
ākolād	braces
ākord	akerd; chords
ākostik	acoustic
ākostiki	acoustic
ākrobāt	acrobat; balancer
ākrobāti	acrobats
ākrobātik	acrobatic
ākvāriyom	aquarium
ākādemi	academy
ākādemik	academic
ākārdeon	folding
ālam	world; universe; cosmos
ālam-e vojud	universe
ālat	penis; instrument; organ
ālat-e musiqi	musical instrument
ālat-e musiqi navāxtan	play
ālat-e tanāsoli	penis; sex organ
ālat-e tanāsoli-ye mard	penis
ālatedast	manipulated; instrument
ālbom	album
ālbom-e aks	photo album
ālbālu	cherry; sour cherry
ālbāluxoške	lbalvkhshkh
ālbāluyi	cherry
ālbāniyāyi	Polish
ālem	scientist
ālem-e dini	clergyman
ālem-e elāhiyāt	theologian
ālerži	allergies; allergy
āleržik	allergic
āleržizā	allergens
ālgoritm	algorithm
āli	organic; excellent; great; high; supreme; superb; superior; super; swell; top; superlative; outstanding
ālijenāb	excellence; eminence; eminency; eminent
ālimaqām	high; great; dignified
ālirotbe	high-ranking; official
ālmān	Germany
ālmāni	German; hun; jerry; Germanic
ālominiyom	aluminum; aluminium
ālominiyomi	aluminum
ālonak	hut; shed
ālu	plum; flame
āluce	sloe
āludan	pollution; spatter; bedaub
ālude	infected; septic; bedraggled; spotty; unclean
ālude kardan	infect; defile; befoul; envenom; imbrue; mess; muck
āludegi	contamination; pollution; filth; impurity; purulence; stain; alloy; sully; squalor
āludegi-ye havā	air pollution
āludegi-ye mohit-e zist	environmental pollution
āludekonande	polluters; pollutant; contaminant
āludešode	infected
āludegi	pollution; contamination; filth
ālunak	shed; hut
ālusiyāh	black plum
āluzard	yellow plum
ālyiāž	alloys
ālzāymer	alzheimer's
ālāciq	canopies; pergola; alcove
ālāt	equipment; gear
ālāt-e musiqi	musical instruments
ālāyande	pollutants
ālāyandegi	emissions
ālāyeš	doping; contamination; stain
ālāyide	doped
āmadan	coming; come
āmadan (ā(y))	come
āmadan (ā)	come
āmadoraft	movement; transportation; pother; trade
āmadošod	come and go; traffic
āmadošod-e ziyād	haunt
āmbolāns	ambulances; ambulance
āmbulāns	ambulance
āmel	factor; agent; operator; operative; doer
āmel (avāmel)	operative; element; doer; potential; agent
āmel-e bimārizā	pathogen
āmel-e moštarek	factor; coefficient
āmel-e nofuzi	penetration agent
āmer	American; matter; affair; imperious; authoritative
āmerāne	imperiously; magisterial; imperious
āmin	amen; verily
āmixtan	interlaced; mingle; mix; brew; incorporate; admix; amalgamate; knead
āmixte	mixed; medley; motley
āmixtegi	amalgamation; blend; melange
āmiyāne	slangy; vulgar
āmize	mosaic; mix; blend; melange; mixture
āmizeš	intercourse; amalgamation; fusion; association; combination; converse; haunt; mixture; hash
āmizeš kardan	admix; associate; intercommunicate
āmizeš-e jensi	sexual intercourse
āmizeši	sexually transmitted; venereal; estate
āmm	general; common; substandard; slangy; folksy; ignorant
āmme	omnibus; plebs; public
āmme-ye mardom	public; people
āmmepasand	common preferred
āmmi	ignorant; illiterate
āmmolmanfae	welfare
āmorzande	forgiving
āmorzeš	forgiveness; pardon; remission
āmorzegār	forgiving
āmorzidan	forgive; absolve; beatify
āmorzidan (āmorz)	absolve; remit; forgive
āmorzide	forgiven
āmorzgāri	forgiving
āmper	amp; ampere
āmpermetr	ammeter
āmpersanj	ammeter; voltammeter
āmpul	ampoule; vial
āmpul zadan	shoot
āmpul zadan (zan)	inject
āmrikā	America
āmrikāyi	American; yankee; yank
āmuniyāk	ammonia; gum ammoniac; ammonium
āmuxtan	learning; learn; indoctrinate; wit; study; teach
āmuxtan (āmuz)	learn; indoctrinate; tent; teach
āmuxtan (āmuzeš)	learn
āmuxte	learned; taught; experienced
āmuxtešode	learned
āmuzande	informative; instructive; erudite
āmuze	teachings; course
āmuzegār	teacher; instructor
āmuzeš	education; training; instruction; teaching
āmuzeš didan (bin)	be trained
āmuzeš-e barnāme	curriculum
āmuzeš-o parvareš	education
āmuzešdehande	educator
āmuzešdide	trained
āmuzešgāh	academy; school
āmuzešgāh-e rānandegi	driving school
āmuzešgāh-e zabān	language institute
āmuzešgāh-e āli	high institute
āmuzeši	education; didactic; instructional
āmuzeškade	school; junior college
āmuzešgāh	school; academy
āmuzešgāhi	school; scholastic
āmuzgār	teacher
āmuzgār	tutors; teacher; pedagogue
āmāde	ready; provided; able;  provided;  able;  present;  stock;  apt; present; stock; apt
āmāde budan	able; ready
āmāde kardan	belay; prepare; gird; provide; list; prime; unlimber; ready
āmāde kardan (kon)	prepare
āmāde šodan	prepare
āmāde-ye cāp kardan	redact; edit
āmāde-ye komak	ready to help
āmāde-ye tahvil	ready to deliver
āmādebāš	be ready
āmādegi	readiness
āmādesāzi	preparation
āmādešode	prepared
āmādegi	ready; readiness; preparation
āmāj	target
āmār	statistics; census
āmāri	statistical; statistic; actuarial
āmāršenās	statistician
āmāršenāsi	statistician; statistics
āmārgar	statistician; statist
āmārgiri	demographics
āmātor	amateur
ān	it; that; moment; minute
ān ciz	it
ān jānevar	it
ān kas-i ke	whom
ānce	what; whatever
ānconān	so; such; so that
ānconānke	as
ānfolānzā	influenza; flu; flue; grip; grippe
āngune	as
ānhame	so much
ānhā	they; those
āni	annie; immediate; instantaneous; momentary
ānin	rules
ānjā	there; yonder; thither
ānlāyn	online
ānmowqe'	at the time; when; then
ānpošt	back there
ānpāyin	down there
ānqadr	so; enough; so much
ānqadr ke	so that; so much that
ānsu	other side; yonder; there
ānsu(-ye)	yonder
āntaraf	other side
āntaraf(-e)	yonder
ānten	antenna
ānten-e bošqābi	dish; dish antenna
ānten-e māhvārei	dish: satellite antenna
ānterākt	entr'acte; break
āntibiyotik	antibiotics
āntibiyutik	antibiotic
āntowr	as
ānvaqt	at the time; when; then
ānyeki	that one
ānzamān	at the time; when; then
ānzim	enzyme
ānāliz	analysis
ānālizor	analyser
ānān	they; those
ānānās	red; pineapple
ānātomi	anatomy
ānātomik	anatomic
ānžin	angina
āngāh	then
āpāndis	appendix; appendicitis
āpāndisit	appendicitis
āpārtemān	apartment; flat; tenement; chamber; partition; suite
āpārāt	reels
āq kardan	disinherit; anathematize; curse; damn
āqebat	finale
āqel	wise; sage; sagacious
āqel-o bāleq	wise and mature
āqelāne	wise
āqeštan	impregnating; smear; gaum
āqeštani	inoculate
āqešte	stained; smeary
āqeštegi	colonization
āqol	housing; pen; corral; fasa
āqol-e gusfand	sheepfold; coop; fold; sheepcote
āquš	arms; embrace; armful; fagot; lap; heart; breast; bosom
āqā	sir; gentleman; monsieur; Mr; gent
āqābālāsar	paternalistic
āqāz	beginning; start; starting
āqāz kardan	inchoate; begin; commence; inaugurate; incept; initiate; initial; set; start
āqāz šodan	begin; dawn
āqāz šodan (šav, šow)	begin; start
āqāz-e kār	debut
āqāzkonande	originating
āqāzšode	started
āqāzgar	primer
āramidan	repose; rest
ārd	flour
ārd kardan	grind
ārd-e berenj	rice flour
ārd-e gandom	wheat flour
āre	yeah
āref	mystic; gnostic; wise; knowing
āref (orafā)	mystic; wise person; wise
ārefāne	mystical
ārenj	elbow
ārezu	wish; desire; ambition; aspiration; wishing; appetence
ārezu dāštan	wish; hope; aspire
ārezu kardan	wish; yearn
ārezu kardan (kon)	wish
ārezumand	wistful; aspirant; desirous; ambitious; anxious; appetent; wishful
ārezumandi	wish; yearn
āri	free; devoid; void; bare; destitute; exempt; yes; aye; ay; yea
āri az hess-e mas'uliyat	unaccountable; irresponsible; reckless
āriye dādan	lend; loan
ārm	logo; slogan
ārmān	ideal
ārmāni	ideal
āroq	burp
ārvāre	jaw
āryāyi	Aryan
ārā	pl of ra'y
ārām	quiet; calm; peaceful; placid; gentle; bland; tranquil; silent; serene; sedate; staid; daft; whist; quite
ārām kardan	calm; assuage; conciliate; appease; soothe; allay; still; solace; smooth; silence; gentle; cool; placate
ārāmbaxš	sedative
ārāmeš	lull; peace; quietness; calm; composure; equilibrium; tranquility; silence; serenity; quiet
ārāmeš beham zadan	stir peace; disturb peace
ārāmeš-e daruni	inner peace; internal peace
ārāmgāh	tomb; cemetery
ārāstan	decorate; adorn; primp; blazon; illustrate; equip; apparel; arrange; rank
ārāste	spruce; decent; brisk; decorous; natty; politic
ārāyeš	arrangement; embellishment; array; ornament; formation; dressing; polish; makeup
ārāyeš kardan	make up
ārāyeš-e mu	hairstyle; haircut
ārāyeš-e surat	makeup
ārāyešgar	stylist; beautifier
ārāyešgar-e bānovān	hairdresser
ārāyešgar-e mardāne	barber
ārāyešgar-e zanāne	hairdresser
ārāyešgāh	hairdresser's; beauty shop
āršad-e kelisā	elder
āršitekt	architect
āršiv	archive
āsemān	sky; heaven
āsemāni	heavenly
āsemānjol	homeless
āsemānqorombe	thunder
āsemānxarāš	sky scraper; skyscraper
āsfālt	asphalt; asphaltum; mineral pitch
āsfālt kardan	asphalt
āsfālte	tarmac
āsib	damage; harm; injury; hurt; trauma; inconvenience; strain
āsib didan	suffer damage
āsib resāndan	harm; mar; endamage; damage
āsib zadan	injure; blemish; hurt
āsibdide	hurt; damaged
āsibdidegi	damage; injury
āsibdidegi	injury
āsibnadide	undamaged
āsibnāpazir	invulnerable
āsibnāpaziri	invulnerable; invulnerability
āsibpazir	vulnerable
āsibpaziri	vulnerability
āsibresidegi	sybrsydgy
āsibresān	harmful; deleterious; injurious
āsibresāni	damage
āsibzanande	harmful
āsibzā	traumatic
āsibzāyi	pathogenic
āsibšenāsi	pathology
āsime	enters
āsiyā	Asia; mill
āsiyā kardan	mill
āsiyā-ye bādi	windmill
āsiyāb	mill
āsiyāb kardan	grind; grit; mill
āsiyāb šodan	grind
āsiyāb-e bādi	windmill
āsiyābān	miller
āsiyāyi	Asian; oriental; Asiatic
āsm	asthma
āsmān	heaven; sky; firmament
āsmāni	heavenly; celestial; ethereal
āsopās	broke
āsperin	aspirin
āspirin	aspirin
āstar	lining
āstari	lining; percaline
āstin	sleeve
āstin zadan be	sleeve
āstinboland	long sleeves
āstinkutāh	short sleeves
āstigmāt	astigmatic
āstigmātism	astigmatism
āstān	state; threshold; sill; limen
āstāne	threshold
āstāni	threshold
āstānmānand	threshold
āsudan	rest; nestle; unbuckle
āsude	comfort; calm; easy; snug; tranquil
āsudegi	relief; tranquility; convenience; comfort; ease; leisure
āsudegi	comfort; relief; tranquility
āsuri	Assyrian
āsān	easy; potty; facile; straightforward; easygoing; light
āsān kardan	facilitate; ease
āsān raftan	glide
āsāni	easy; ease; freedom
āsānsor	elevator; lift
āsānsāzi	simplified
āsāngir	easy going; easygoing; lenient
āsāngiri	permissiveness; leniency
āsār	effects; phenomena; pl of asar
āsār-e adabi yā honari	work
āsār-e adabi-ye digarān rā serqat kardan	plagiarize
āsāyeš	comfort; easement; rest; welfare; weal
āsāyeš dādan	comfort
āsāyešgāh	sanitarium
āsāyešgāh	home; sanatorium; sanitarium
ātaš	fire; fire!; light; ingle
ātaš gereftan	enflame; fire; ignite; inflame; light
ātaš zadan	fire; ignite; be alight; burn; deflagrate; light
ātašafruz	incendiary; incentive; inflammatory; tindery
ātašafruzi	arson
ātašbāzi	fire works; bonfire; pyrotechnic; firework
ātašdān	induction; hearth; firebox
ātašfešān	volcano; geyser
ātašfešāni	volcanic; igneous; plutonian
ātašin	fiery; empyreal; hot
ātaškade	temple; fire temple
ātašnešān	fire man; extinguisher
ātašnešāni	fire stations; fire brigade
ātašparast	tshprst; fire worshipper
ātašpāre	firebrands; firebrand; brand
ātašsuzi	fire
ātašxāmuškon	extinguisher
ātašzā	incendiary; pyrophoric; agitator
ātefe (avātef)	affection; sentiment
āteliye	atelier
āti	next; future; upcoming
ātiye	future
ātolye	atelier
ātoāšqāl	odds and ends; bits and pieces
āvardan	bring; fetch; bring in; immigrate
āvardan (āvar)	bring
āvarde	brought
āvardgāh	battleground
āvixtan	hanging; hang out; hang; dangle; append; loll; slouch
āvixtan (āviz)	hang; hang out
āvixte	hung; pendent; flaccid; dropper
āvixtegi	flaccidity; lobation; pendency
āvizān	hung; hanging; dangling
āvizān budan	dangle; hang; overhang
āvizān kardan	hang; dangle; impend; hang up; put up
āvizān kardan (kon)	hang up
āvizān šodan	hang
āvril	April
āvā	ava; sound; voice
āvānevisi	transcription
āvāntāž	advantage
āvār	debris; shakedown; collapse
āvāre	homeless; displaced
āvāregi	displacement; dispersion; tramp
āvāyi	phonetic; vocalic; vocative
āvāz	singing; song; sing; tune; air; croon; singsong
āvāz xāndan	sing; cant; chitter
āvāze	reputation; air; bruit; buzz; fame; hearsay
āvāzexān	singer
āvāzi	vocal
āvāzxān	singer; crooner; songster
āvāzxāni	singing
āvāšenāsi	phonetics
āx!	ouch!
āxar	last; latter; ultimate; end; finale
āxar-e sāl	year-end
āxar-e xat	terminal; terminus
āxarehafte	weekend
āxari	last; latter
āxarin	latest; last; final
āxarsar	at last; finally
āxerat	hereafter; futurity; other world
āxor	stall; manger; bin; box stall; crib
āxund	mullah
āyande	next; future; comer; forthcoming; oncoming; comming
āyandenegar	prospective; provident; providential
āyandenegari	foresight; providence
āyandenegarāne	futuristic
āyandesāz	builders of the future
āyandeāndiši	futures
āyandegān	future; posterity
āyat	sign; omen
āyat (āyāt)	sign
āyatollāh	ayatollah
āye (āyāt)	verse
āyedi	earnings; income; profit; revenue
āyedi dāštan	profit
āyene	mirror; looking glass
āyene-ye baqal	side mirror
āyenekāri	mirrors
āyeqbandi	insulation
āyin	regulations; religion; order; ethic; ordinance; cult; ceremony; ritual
āyin-e dini	religious ritual
āyine	mirror; glass
āyini	ritual
āyinnāme	regulations; bylaw; regulation
āyinnāme-ye rānandegi	road traffic act
āyinnāmei	regulations
āyrodināmik	aerodynamics
āynedār	mirrored
āyā	is; whether; if
āyāt	pl of āyat
āz intaraf be āntaraf	across
āzar	Iran. Calendar, 9th month
āzaraxš zadan	fulgurate; levin; light
āzarbāyjān	Azerbaijan
āzarmāh	Iran. Calendar, 9th month
āzem	departing; leaving
āzem šodan	set off; set forth; shove off; pull out; be off; depart; leave
āzem-e safar šodan	leave; depart
āzinbandi	decoration
āzini	decorative
āzmudan	test; shake down; assay; examine; grope; try
āzmun	test; exam; examination; shibboleth; sample; try
āzmāyeš	test; experiment; trial; testing; tryout; screening; examination; try; experimentation
āzmāyeš kardan	test; approve; assay; experiment; gauge; quiz
āzmāyeš-e xun	blood test
āzmāyeš-e ābestani	pregnancy test
āzmāyešgāh	lab; laboratory
āzmāyeši	experimental; pilot; testable; tentative; empirical; empiric
āzordan	fash; hurt; aggrieve; ail; annoy; goad
āzordan (āzār)	distress; hurt
āzuqe	provisions; supplies; food
āzuqe resāndan	cater
āzād	free;  open;  loose;  unattached;  degage;  patent; open; loose; unattached; degage; exempt; gratis
āzād gozāštan (gozār)	allow
āzād kardan	release; franchise; free; assoil; deliver; ease; liberate
āzād kardan (kon)	liberate
āzāde	noble; tolerant; catholic; liberal; free-hearted
āzādi	freedom; release; liberty; independence; emancipation; freeness;  release;  liberty;  independence;  emancipation;  option
āzādi-ye aqide	freedom of opinion
āzādi-ye bayān	freedom of speech
āzādi-ye matbuāt	freedom of the Press
āzādixāh	liberal
āzādāne	freely
āzār	annoyance; disservice; excruciation; harassment; hindrance; hurt; nuisance; persecution; torment; trade; train; trouble; vexation
āzār dādan	tease; dun; excruciate; imp; nag; tantalize; trouble
āzār resāndan	injure; incommode; hurt; molest; plague; torture
āzārdahande	annoying
āžir	siren; alarm
āžir-e xatar	siren; alarm
āžān	cop
āžāns	agency
āžāns-e mosāferati	travel agency
āžāns-e moāmelāt-e melki	real estate agency
āš	broth; pottage; potage
āš-e rešte	noodle soup
āšekār	evident; apparent; clear; obvious
āšekārā	clearly; obviously; apparently
āšekārgar	detector
āšenā	familiar; acquaintance
āšenā budan	being familiar
āšenā kardan	introduce; familiarize; acquaint
āšenā šodan	get to know; meet; become acquainted
āšenāyi	introduction; acquaintanceship
āšeq (oššāq)	lover; loving
āšeq budan	being in love
āšeq šodan	fall in love
āšeq-o ma'šuq	lovers
āšeqi	loving
āšeqāne	amorously
āšil	achilles
āšiyān	nest
āšiyāne	nest
āškār	clear; manifest; obvious
āškār kardan	unfold; reveal; air; announce; bare; disclose; uncover; display; light; open
āškār sāxtan	unveil; manifest; open
āškār šodan	unfold; peep
āškārgar	detector
āškāri	lucidity; exposure; flagrance; flagrancy
āškārkonande	revealing; revealer; manifester
āškārsāzi	disclosure; revelation; decryption
āškārā	openly; signally; outright
āškāršode	revealed
āšnā	familiar; acquaintance
āšnā kardan	familiarize; accustom; induct; acquaint; affiliate; introduce
āšnā kardan (kon)	acquaint; familiarize
āšnā šodan (šav, šow)	getting to know
āšnābemahal	familiar with the area
āšnāyi	trading; familiarity; acquaintance; introduction; acquaintanceship
āšoftan	embarrassed; agitate; disquiet; frenzy; disturb; flurry; fluster; frazzle; shake; trouble; upset
āšofte	confused; turbulent; disturbed; garbled; frenetic; disheveled; upset
āšofte kardan	roil; confuse; dishevel; embrangle; embroil; entangle; upset
āšoftegi	turmoil; chaos; turbulence; perturbation; disorder; tumble; unrest
āšoftegi-ye fekri movaqqati	brainstorm
āšoftegi	turmoil; chaos; turbulence
āšpaz	chef; cook
āšpazi	cooking; cookery; cuisine
āšpazi kardan	cook
āšpazxāne	kitchen; galley; cookery
āšqāl	garbage; junk; occupation; occupancy
āšqāldān	garbage bin; ash can; slop jar
āšqāldāni	dustbin
āšti	reconciliation; peace; placation
āšti dādan	reconcile; accord; agree; conciliate
āšti kardan	placate; reconcile
āštidehande	conciliator
āštināpazir	irreconcilable
āštināpaziri	antagonism
āštipazir	peaceable
āštiyuyāne	conciliatory
āšub	chaos; riot; tumult; unrest; turbulence; revolution; alarum
āšubgar	turbulent
āšubtalab	anarchist; militant
āšubzade	turbulent
āšubgar	agitator; exciter; rioter
āšubgari	sedition
āšubgarāne	disorderly; riotous
āšuri	Assyrian
āšāmande	drink
āšāmidan	drinking; drink; bib; swig; swizzle
āšāmidani	beverage; drink; potable; drinkable
āgah	notifier
āgahi	advertising; announcement; advertisement
āgāh	informed; aware; conscious
āgāhi	awareness; knowledge; consciousness
āgāhidehande	informative; informant; monitor
āgāhkonande	gahknndh
āgāhsāzi	informing; notification
āgāhāndan	gahandn
āgāhāne	informed
ؤ€lbāni	Albania
ؤ€nāhid	Anahid
ؤ€nāhitā	Anahita
ؤ€tlāntik	Atlantic
إ ili	Chile
إ owravi	Soviet
إ uš	Susa
žarf	deep; profound; unfathomable
žarfandiš	visionary
žarfandiši	contemplation
žarfi	depth; circumspection; precaution
žarfnā	depths
žarfā	depth; profundity
žarfāsanj	sounder; bathometer; fathometer
žel	gels
žele	jelly
želei	gelled
želātin	gelatin; gel
žen	gene
žendarmāni	gene therapy
žende	rags; ragged; shabby; tatters; patched garment
žendepuš	rags; tatters; ragamuffin; tattered; clothed in rags
ženerāl	general
ženerātor	generator
ženetik	genetics; genetic
ženetiki	genetic
ženi	gene; genius; dowry
žeofizik	geophysics
žeopolitik	geopolitics
žeošimi	geochemistry
žerman	shepherd
žest	gesture; movement; sign; motion; pose
žest gereftan	pose
žeton	chip; token; counter
žigolo	macaroni; cockscomb
žigul	dandy; dude; gigolo
žimināst	gymnast
žimināstik	gymnastics; gymnastic
žimnāst	gymnast
žimnāstik	gymnastics; gymnastic
žimnāstik kardan	do gymnastics
žiyān	spine-chilling; fearsome; ferocious; ravening; fearful; frightful; fierce
žoker	joker
žornālist	journalist
žoržet	georgette
žuan	June
žuiye	July
žulidan	get confused; tangle; get disheveled
žulide	slovenly; unkempt; disheveled; scruffy; tangled; dazed; embarrassed; ragamuffin; uncouth
žulide kardan	bemuse; confuse; daze; dishevel; embarrass; ruffle
žulidegi	disorderliness; disarrangement; abashment
žur	dentigerous
žuri	jury
žurnāl	journal
žurnālist	journalist
žākat	sweater; jacket; coat; pullover
žāle	dew; drizzle; heat drops
žāmbon	ham
žāndārm	gendarme
žāndārmeri	gendarmerie; gendarmery
žānvie	January
žānviye	January
žāpon	Japan
žāponi	Japanese; Nipponese
žāvel	bleach
ša'n	dignity; status; rank; grandeur; importance
ša'n (šounāt)	dignity; format
šaaf	hilarity
šab	night; evening
šab bexeyr	good night
šab rā jā-yi gozarāndan	stay; spend the night somewhere
šab rā jā-yi māndan	stay; spend the night somewhere
šab rā jā-yi xābidan	stay; spend the night somewhere
šab xoš	good night
šab-e Kerismas	Christmas eve
šab-e sālenow-e masihi	New Year's eve
šabah	ghost; silhouette; specter; quasi
šabah (ašbāh)	ghost; spirit
šabake	network; lattice; net; channel
šabake-ye barqresāni	grid; power grid
šabake-ye fāzelāb	sewage; sewage network
šabakebandi	networking; reticulation; lattice
šabbexeyr	good night
šabbu	brassicaceae
šabdar	clover
šabestān	bedchamber; seraglio
šabhā	nights; in the evening
šabih	similar; like; same; likeness; mystery;  mystery;  portrait; analogous; alike; quasi
šabih(-e)	like; similar
šabihsāzi	simulation; imagery; computer simulation
šabixun	camisado
šabkur	bat; moon-eyed; night-blind
šabkuri	night-blindness
šabkāri	night work; night shift
šabmānde	stale
šabnam	dew; frost; brume; tau
šabnemā	luminous
šabnešini	soiree; wake
šabpare	moth; bat; witch moth; vespertine
šabpā	night watchman
šabrang	reflective
šabtāb	luminescent; phosphorescent; noctilucent; lightning bug
šabzendedār	wakeful
šabzendedāri	vigil; vigilance; wake; lucubration
šabzendedāri kardan	wake
šabāhang	sirius
šabān	shepherd; pastor; looker
šabāne	overnight; nightly; nocturnal;  overnight;  nocturnal;  vespertinal;  vespertine
šabāneruz	day and night
šabāneruzi	boarding; hostel; hostelry; 24 hours open
šabāni	pastor
šabāngāh	nightfall; nighttime
šabāngāhi	evening
šabāngāhān	evening
šabgard	hobgoblin; cracksman
šadid	severe; intense; violent; vehemently; drastic; intensive; vigorous; strong; heavy
šadid šodan	intensify
šadidan	strongly; amain; severely; heavily
šafaq	twilight; crepuscle; crepuscule
šafeqat	compassion; mercy; benignity
šaffāf	transparent; clear; lucid; crystal; hyaline; crystalline
šaffāfi	transparent; perspicuity
šaffāfiyat	transparence
šaffāfsāzi	clarification
šafi'	intercessor; paraclete; defender
šafiq	compassionate; sympathetic
šaftālu	peach
šafā	healing
šafā dādan	heal; cure; leech; medicate; mend; physic
šafā yāftan	recuperate; come round; convalesce; get better; recover
šafāat	pleading; intercession; intervention
šafābaxš	remedial; medic; medical
šafābaxši	healing
šafādehande	healer; sanative; sanatory
šafāhi	oral; verbal; unwritten
šafāxāne	hospitals
šahavāt	passions; pl of šahvat
šahbānu	queen; empress
šahd	nectar; honey; ambrosia
šahid	martyr
šahid (šohadā)	martyr
šahid šodan	suffer a martyr's death
šahiq	inspiration; air; aspiration; inhalation; snuff
šahr	city; town; polis;  town;  polis;  parish;  burgh;  dorp
šahr-e bandari	port city; seaport
šahr-e bozorg	metropolis; city
šahr-e san'ati	industrial city
šahr-e sāheli	beach town
šahrak	town; settlement
šahrak-e san'ati	industrial area; industrial park
šahraksāzi	town constraction
šahrbān	satrap
šahrbāni	police; police department; police headquarters
šahrdār	mayor; municipality; provost
šahrdāri	municipality; municipal; city hall
šahrestān	city; county; township; parish; eparchy;  township;  parish;  eparchy
šahrestāni	county
šahri	urban; municipal; civic; townspeople; townsman; city; town
šahrivar	September; Iran. Calendar, 6th Month
šahrivarmāh	September; Iran. Calendar, 6th Month
šahriye	tuition; fee; salary; tuitional
šahriye-ye dabestān	tuition
šahrnešin	urban; urbanite; burgess
šahrnešini	urbanization; urbanism; urbanity
šahrvand	citizen; national
šahrvandi	citizenship; nationality
šahryār	king; monarch; sovereign
šahryāri	monarchy
šahvat	lust; flesh; rut; concupiscence; carnality
šahvat (šahavāt)	lust; sexual desire
šahvatangiz	erotic; sexy
šahvatangiz	sexy; lusty; lascivious
šahvati	horny; hot
šahvatrān	licentious; voluptuous; salacious
šahvatrāni	lechery; pleasure
šahvāni	sensual; lustful; carnal; lustihood; erotic
šahāb	meteor; falling star
šahādat	witness; testimony; martyrdom
šahādat dādan	testify; witness; evidence; attest; affirm; voucher; testate
šahādat-e doruq	perjury
šahādatnāme	testimony; affidavit; certificate; acknowledgment
šahāmat	pluck; dare; daring; bounty; animosity; courage; bravery
šajare	family tree; stemma
šajarenāme	family tree; pedigree; genealogy
šak dāštan	doubt
šak kardan	doubt
šak(k)	doubt; skepticism; suspicion
šakbarangiz	suspect
šakib	patience
šakibā	patient; tolerant; enduring
šakibāyi	patience; forbearance; fortitude
šakil	pretty; beautiful; shapely
šakkāk	skeptic; sceptic; acatalectic
šakkākiyat	skepticism
šakāšak	shkashk
šal	loose; slack; sleazy; lame
šal kardan	unscrew; relax; loosen; slack; unbend; unbind
šalamšurbā	mishmash
šalidan (šal)	limp
šalil	nectarine
šallāq	whip; lash; stick; whiplash; horsewhip; scourge; switch
šallāq zadan	thong; whip; thrash; whiplash; wallop; beat; flail
šalqam	turnip; rutabaga
šalqam-e rowqani	turnip
